Timestamp,total_watt
2016-10-05 08:44:59,81.3689
2016-10-05 08:59:59,41.8934
2016-10-05 09:14:59,27.3402
2016-10-05 09:29:59,33.4631
2016-10-05 09:44:59,34.2828
2016-10-05 09:59:59,32.3607
2016-10-05 10:14:59,30.1516
2016-10-05 10:29:59,33.3811
2016-10-05 10:44:59,29.0533
2016-10-05 10:59:59,29.8525
2016-10-05 11:14:59,32.5123
2016-10-05 11:29:59,27.9139
2016-10-05 11:44:59,26.8648
2016-10-05 11:59:59,28.6025
2016-10-05 12:14:59,33.5697
2016-10-05 12:29:59,34.2459
2016-10-05 12:44:59,31.4877
2016-10-05 12:59:59,30.9795
2016-10-05 13:14:59,32.7131
2016-10-05 13:29:59,28.6352
2016-10-05 13:44:59,30.6803
2016-10-05 13:59:59,31.8484
2016-10-05 14:14:59,27.582
2016-10-05 14:29:59,26.6393
2016-10-05 14:44:59,29.9344
2016-10-05 14:59:59,33.8115
2016-10-05 15:14:59,34.0615
2016-10-05 15:29:59,30.4508
2016-10-05 15:44:59,31.959
2016-10-05 15:59:59,31.8811
2016-10-05 16:14:59,28.3074
2016-10-05 16:29:59,31.7459
2016-10-05 16:44:59,30.9836
2016-10-05 16:59:59,27.332
2016-10-05 17:14:59,26.4795
2016-10-05 17:29:59,31.2131
2016-10-05 17:44:59,33.9057
2016-10-05 17:59:59,33.9549
2016-10-05 18:14:59,34.9016
2016-10-05 18:29:59,49.0082
2016-10-05 18:44:59,57.9836
2016-10-05 18:59:59,55.2541
2016-10-05 19:14:59,59.7295
2016-10-05 19:29:59,57.0205
2016-10-05 19:44:59,279.32
2016-10-05 19:59:59,381.406
2016-10-05 20:14:59,351.189
2016-10-05 20:29:59,77.6762
2016-10-05 20:44:59,76.9467
2016-10-05 20:59:59,191.77
2016-10-05 21:14:59,351.004
2016-10-05 21:29:59,353.607
2016-10-05 21:44:59,358.975
2016-10-05 21:59:59,363.795
2016-10-05 22:14:59,355.602
2016-10-05 22:29:59,417.172
2016-10-05 22:44:59,505.549
2016-10-05 22:59:59,443.631
2016-10-05 23:14:59,412.373
2016-10-05 23:29:59,324.693
2016-10-05 23:44:59,319.684
2016-10-05 23:59:59,304.123
2016-10-06 00:14:59,193.504
2016-10-06 00:29:59,297.057
2016-10-06 00:44:59,259.32
2016-10-06 00:59:59,210.57
2016-10-06 01:14:59,291.828
2016-10-06 01:29:59,180.754
2016-10-06 01:44:59,296.406
2016-10-06 01:59:59,185.93
2016-10-06 02:14:59,234.098
2016-10-06 02:29:59,222.123
2016-10-06 02:44:59,182.598
2016-10-06 02:59:59,164.078
2016-10-06 03:14:59,237.143
2016-10-06 03:29:59,167.898
2016-10-06 03:44:59,136.652
2016-10-06 03:59:59,137.693
2016-10-06 04:14:59,174.266
2016-10-06 04:29:59,175.484
2016-10-06 04:44:59,174.385
2016-10-06 04:59:59,166.508
2016-10-06 05:14:59,153.246
2016-10-06 05:29:59,142.922
2016-10-06 05:44:59,54.9508
2016-10-06 05:59:59,31.2746
2016-10-06 06:14:59,31.4262
2016-10-06 06:29:59,27.3115
2016-10-06 06:44:59,26.6148
2016-10-06 06:59:59,30.7213
2016-10-06 07:14:59,43.5533
2016-10-06 07:29:59,50.3934
2016-10-06 07:44:59,41.8934
2016-10-06 07:59:59,32.4426
2016-10-06 08:14:59,141.578
2016-10-06 08:29:59,60.1926
2016-10-06 08:44:59,47.3689
2016-10-06 08:59:59,30.5779
2016-10-06 09:14:59,35.6844
2016-10-06 09:29:59,26.5
2016-10-06 09:44:59,34.9713
2016-10-06 09:59:59,37.541
2016-10-06 10:14:59,37.3361
2016-10-06 10:29:59,32.5492
2016-10-06 10:44:59,33.627
2016-10-06 10:59:59,30.7172
2016-10-06 11:14:59,28.4139
2016-10-06 11:29:59,32.8484
2016-10-06 11:44:59,29.4467
2016-10-06 11:59:59,26.9754
2016-10-06 12:14:59,26.6721
2016-10-06 12:29:59,33.0164
2016-10-06 12:44:59,34.1926
2016-10-06 12:59:59,33.0164
2016-10-06 13:14:59,29.623
2016-10-06 13:29:59,33.4631
2016-10-06 13:44:59,29.8443
2016-10-06 13:59:59,29.0574
2016-10-06 14:14:59,33.0164
2016-10-06 14:29:59,28.459
2016-10-06 14:44:59,26.8115
2016-10-06 14:59:59,27.3975
2016-10-06 15:14:59,33.6557
2016-10-06 15:29:59,34.1967
2016-10-06 15:44:59,32.2623
2016-10-06 15:59:59,30.2377
2016-10-06 16:14:59,33.3975
2016-10-06 16:29:59,28.918
2016-10-06 16:44:59,29.9426
2016-10-06 16:59:59,32.4672
2016-10-06 17:14:59,27.7746
2016-10-06 17:29:59,26.791
2016-10-06 17:44:59,28.8811
2016-10-06 17:59:59,37.0451
2016-10-06 18:14:59,43.1311
2016-10-06 18:29:59,45.3648
2016-10-06 18:44:59,45.1803
2016-10-06 18:59:59,43.2828
2016-10-06 19:14:59,44.709
2016-10-06 19:29:59,192.213
2016-10-06 19:44:59,235.512
2016-10-06 19:59:59,47.6598
2016-10-06 20:14:59,33.6885
2016-10-06 20:29:59,517.295
2016-10-06 20:44:59,718.115
2016-10-06 20:59:59,192.463
2016-10-06 21:14:59,76.1434
2016-10-06 21:29:59,90.2705
2016-10-06 21:44:59,89.5738
2016-10-06 21:59:59,242.951
2016-10-06 22:14:59,365.172
2016-10-06 22:29:59,362.91
2016-10-06 22:44:59,356.975
2016-10-06 22:59:59,353.037
2016-10-06 23:14:59,515.496
2016-10-06 23:29:59,523.447
2016-10-06 23:44:59,521.594
2016-10-06 23:59:59,385.697
2016-10-07 00:14:59,302.0
2016-10-07 00:29:59,296.922
2016-10-07 00:44:59,292.148
2016-10-07 00:59:59,293.82
2016-10-07 01:14:59,194.406
2016-10-07 01:29:59,294.906
2016-10-07 01:44:59,218.967
2016-10-07 01:59:59,249.107
2016-10-07 02:14:59,299.762
2016-10-07 02:29:59,185.66
2016-10-07 02:44:59,256.086
2016-10-07 02:59:59,216.77
2016-10-07 03:14:59,195.594
2016-10-07 03:29:59,226.451
2016-10-07 03:44:59,201.648
2016-10-07 03:59:59,138.16
2016-10-07 04:14:59,229.881
2016-10-07 04:29:59,196.303
